Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"V-c1373","C1373",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1374","C1374",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1375","C1375",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1376","C1376",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1377","C1377",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c14","C14",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c140","C140",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c141","C141",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c142","C142",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c143","C143",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c144","C144",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c145","C145",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c146","C146",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c147","C147",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c15","C15",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c150","C150",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c151","C151",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c152","C152",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c153","C153",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c154","C154",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c155","C155",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c156","C156",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c157","C157",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c16","C16",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c160","C160",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c161","C161",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c162","C162",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c163","C163",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c164","C164",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c165","C165",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c166","C166",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c167","C167",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c17","C17",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c170","C170",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c171","C171",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c172","C172",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c173","C173",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c174","C174",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c175","C175",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c176","C176",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c177","C177",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c2","C2",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c20","C20",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c200","C200",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c201","C201",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c202","C202",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c203","C203",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c204","C204",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c205","C205",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c206","C206",Boolean,1,R/W,10,,,,,,,,,,"",
